id,Categoria,Nome do táxon,Ordem,Família,Subfamília,Gênero,Espécie,Nome em Português,English Name
505,Espécie,Ramphodon naevius,Apodiformes,Trochilidae,Phaethornithinae,Ramphodon,naevius,beija-flor-rajado,Saw-billed Hermit
507,Espécie,Glaucis dohrnii,Apodiformes,Trochilidae,Phaethornithinae,Glaucis,dohrnii,balança-rabo-canela,Hook-billed Hermit
508,Espécie,Glaucis hirsutus,Apodiformes,Trochilidae,Phaethornithinae,Glaucis,hirsutus,balança-rabo-de-bico-torto,Rufous-breasted Hermit
511,Espécie,Threnetes leucurus,Apodiformes,Trochilidae,Phaethornithinae,Threnetes,leucurus,balança-rabo-de-garganta-preta,Pale-tailed Barbthroat
515,Espécie,Threnetes niger,Apodiformes,Trochilidae,Phaethornithinae,Threnetes,niger,balança-rabo-escuro,Sooty Barbthroat
518,Espécie,Anopetia gounellei,Apodiformes,Trochilidae,Phaethornithinae,Anopetia,gounellei,rabo-branco-de-cauda-larga,Broad-tipped Hermit
520,Espécie,Phaethornis squalidus,Apodiformes,Trochilidae,Phaethornithinae,Phaethornis,squalidus,rabo-branco-pequeno,Dusky-throated Hermit
521,Espécie,Phaethornis rupurumii,Apodiformes,Trochilidae,Phaethornithinae,Phaethornis,rupurumii,rabo-branco-do-rupununi,Streak-throated Hermit
524,Espécie,Phaethornis maranhaoensis,Apodiformes,Trochilidae,Phaethornithinae,Phaethornis,maranhaoensis,rabo-branco-do-maranhão,Maranhao Hermit
525,Espécie,Phaethornis aethopygus,Apodiformes,Trochilidae,Phaethornithinae,Phaethornis,aethopygus,rabo-branco-do-tapajós,Tapajos Hermit
526,Espécie,Phaethornis idaliae,Apodiformes,Trochilidae,Phaethornithinae,Phaethornis,idaliae,rabo-branco-mirim,Minute Hermit
527,Espécie,Phaethornis nattereri,Apodiformes,Trochilidae,Phaethornithinae,Phaethornis,nattereri,rabo-branco-de-sobre-amarelo,Cinnamon-throated Hermit
528,Espécie,Phaethornis griseogularis,Apodiformes,Trochilidae,Phaethornithinae,Phaethornis,griseogularis,rabo-branco-de-garganta-cinza,Gray-chinned Hermit
