,taxonomia,ordem,familia,subfamilia,genero,especie,nome_pt,nome_eng,url_wikiaves
922,Herpsilochmus longirostris,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,longirostris,chorozinho-de-bico-comprido,Large-billed Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-bico-comprido
923,Herpsilochmus sticturus,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,sticturus,chorozinho-de-cauda-pintada,Spot-tailed Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-cauda-pintada
924,Herpsilochmus frater,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,frater,chorozinho-de-asa-vermelha-do-norte,Northern Rufous-winged Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-asa-vermelha-do-norte
925,Herpsilochmus rufimarginatus,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,rufimarginatus,chorozinho-de-asa-vermelha,Southern Rufous-winged Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-asa-vermelha
926,Herpsilochmus stictocephalus,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,stictocephalus,chorozinho-de-cabeça-pintada,Todd's Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-cabeca-pintada
927,Herpsilochmus dorsimaculatus,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,dorsimaculatus,chorozinho-de-costas-manchadas,Spot-backed Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-costas-manchadas
928,Herpsilochmus praedictus,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,praedictus,chorozinho-esperado,Predicted Antwren,https://www.wikiaves.com.br/wiki/chorozinho-esperado
929,Herpsilochmus stotzi,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,stotzi,chorozinho-do-aripuanã,Aripuana Antwren,https://www.wikiaves.com.br/wiki/chorozinho-do-aripuana
930,Herpsilochmus atricapillus,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,atricapillus,chorozinho-de-chapéu-preto,Black-capped Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-chapeu-preto
931,Herpsilochmus pileatus,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,pileatus,chorozinho-de-boné,Bahia Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-bone
932,Sakesphorus canadensis,Passeriformes,Thamnophilidae,Thamnophilinae,Sakesphorus,canadensis,choca-de-crista-preta,Black-crested Antshrike,https://www.wikiaves.com.br/wiki/choca-de-crista-preta
933,Sakesphorus luctuosus,Passeriformes,Thamnophilidae,Thamnophilinae,Sakesphorus,luctuosus,choca-d'água,Glossy Antshrike,https://www.wikiaves.com.br/wiki/choca-d_agua
934,Thamnophilus doliatus,Passeriformes,Thamnophilidae,Thamnophilinae,Thamnophilus,doliatus,choca-barrada,Barred Antshrike,https://www.wikiaves.com.br/wiki/choca-barrada
